layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
15,15.106860160827637,3.829566240310669,3.2904152870178223,0.17376115300627246,0.21595792472362518,0.11645600199699402,77.52826729877434,83.3123878599669,1.0470376431451736,1.1000605723771997,1.047037655681576,1.1000605805057093,0.710591197013855,0.38318854570388794,0.7454721927642822,3.2048561573028564,0.94867106624894,0.5033825045617153,0.5955344306084976
16,17.493331909179688,4.497973918914795,3.673215627670288,0.1670303553010187,0.22193101048469543,0.06254837661981583,77.17752410958673,86.4139010916321,1.0466006436604172,1.0510793823867965,1.0466006249619388,1.0510793764946134,0.8152003884315491,0.22975371778011322,0.8152148127555847,3.581610918045044,0.9507448103791764,0.5143651855705017,0.5909316202475643
17,17.880355834960938,4.748483657836914,3.9296131134033203,0.1736550879207685,0.2378602772951126,0.09554724395275116,76.2397134669939,84.51718213754349,1.0522751742778007,1.0790702223523625,1.0522751802437256,1.0790702276392516,0.9346986413002014,0.375463604927063,0.939126193523407,3.815743923187256,0.9428852749856365,0.49725428734785654,0.5803157592549272
18,19.288272857666016,5.096078872680664,4.333204746246338,0.17770432416608223,0.25409311056137085,0.08989611268043518,75.28014565341357,84.84236944023225,1.0570832560144316,1.0764388245273864,1.0570832560144316,1.0764388245273864,1.1010375022888184,0.3895381987094879,1.1016125679016113,4.190836429595947,0.935369060065858,0.49777525790478633,0.5820205571224087
19,22.478849411010742,6.27935266494751,5.478062629699707,0.1904869648431352,0.23869991302490234,0.09921995550394058,76.1901791177959,84.30574617168988,1.0581708136032275,1.086558781276543,1.0581708211526186,1.086558781276543,1.3076130151748657,0.5435331463813782,1.3112056255340576,5.318825721740723,0.942708741492421,0.4724383100334966,0.5633000525430256
20,33.48655700683594,8.183067321777344,6.936802387237549,0.16647144046387624,0.21323262155056,-0.09049560874700546,77.68814027756204,95.19211973100104,1.0441715333436326,0.9232866915534699,1.0441715367455133,0.9232867057953668,1.4791525602340698,0.6277501583099365,1.799668788909912,6.699284076690674,0.9326917657154539,0.5534711154000558,0.6072406479943002
21,41.18107986450195,9.728206634521484,8.403489112854004,0.16506790193110493,0.216277077794075,-0.08384864777326584,77.50953856534898,94.8098208873008,1.044133907991412,0.9275692612753113,1.0441338989938551,0.9275692965450756,1.8174818754196167,0.7046211361885071,2.2161333560943604,8.106008529663086,0.9304538328346452,0.5610055801027678,0.6178219218296369
22,48.38724136352539,11.514337539672852,10.19499683380127,0.17019579481493408,0.1770848035812378,-0.1007922813296318,79.79999631716927,95.78479537266271,1.037311063432839,0.9107567363627909,1.0373110536571,0.9107567075899884,1.8053791522979736,1.02757728099823,2.382819652557373,9.91262435913086,0.9453728094977556,0.5563824520633518,0.6155581287311986
23,57.26468276977539,13.946114540100098,12.16141128540039,0.17078043980847335,0.10444869101047516,-0.07049844413995743,84.00459577050886,94.04261669383216,1.0221819722549745,0.9385233310962522,1.0221819652752608,0.9385233409029689,1.2702436447143555,0.8573607206344604,1.7393078804016113,12.036393165588379,0.9795458717302792,0.5401544855035151,0.6083146076161788
24,70.67863464355469,16.43735122680664,14.208427429199219,0.16309782051611085,0.1098925918340683,-0.10950982570648193,83.69087600145592,96.28705994959937,1.02209155540265,0.9053398316452083,1.0220915599844382,0.9053398034076978,1.5614010095596313,1.555962085723877,2.501161813735962,13.986550331115723,0.9690120956102348,0.5640589547998768,0.622632951559993
25,81.92110443115234,19.41065788269043,16.512712478637695,0.16295692584389557,0.10278354585170746,-0.09233476221561432,84.10051788575527,95.2979385555947,1.0207179216656652,0.9214505056165161,1.020717926213016,0.9214505157411556,1.6972349882125854,1.524697184562683,2.622948169708252,16.303062438964844,0.9747686332796847,0.5562998337205903,0.6168889705943027
26,92.52549743652344,22.08063507080078,19.394704818725586,0.16922920608802347,0.11641719192266464,-0.08218831568956375,83.31462674202078,94.7143613294259,1.0244027564424627,0.9278092161564904,1.0244027564424627,0.9278092318047828,2.2578771114349365,1.5940183401107788,3.1548209190368652,19.136396408081055,0.9735403789044174,0.5489379711678336,0.6146692224787709
27,104.74659729003906,25.776655197143555,22.41604995727539,0.17173989713257604,0.1259247064590454,-0.02645786479115486,82.7658404630199,91.51610090569761,1.0269482196313664,0.9769915555625659,1.0269482140684798,0.9769915526919376,2.8227338790893555,0.5930807590484619,3.1717445850372314,22.190523147583008,0.9799793181136089,0.5303542713325917,0.6050258523445858
28,134.61077880859375,25.521013259887695,20.524208068847656,0.12817072614030717,0.3072719871997833,-0.10934891551733017,72.10509556019164,96.27778477348473,1.046850001808196,0.9120607021853172,1.0468499984398214,0.9120607080421692,6.306515693664551,2.24429988861084,6.760107517242432,19.37896156311035,0.8915140360295375,0.6426226680970168,0.6812498888118392
