layer,alpha_A_given_U,alpha_A_given_U_lo,alpha_A_given_U_hi,alpha_U_given_A,alpha_U_given_A_lo,alpha_U_given_A_hi,cos_R_vs_tau_A,cos_R_vs_tau_A_lo,cos_R_vs_tau_A_hi,cos_R_vs_tau_U,cos_R_vs_tau_U_lo,cos_R_vs_tau_U_hi,ncf,ncf_lo,ncf_hi
14,1.2083404405908975,1.0509394973516464,1.3746530324220658,1.1128486593303146,0.9949020951986313,1.2307416319847106,0.3691213667771893,0.08338130731135607,0.5134664446115493,0.33001724563258084,-0.01368558856192976,0.5226506382226944,0.8506695965691999,0.6810412555932999,0.986565537750721
15,1.1669935656743324,1.0232033908367157,1.31329325735569,1.0684449077050087,0.9618595942854882,1.1809238493442533,0.31238423753571204,0.03723710961639881,0.46202390491962425,0.2138650148529947,-0.10923300459980964,0.4421523496508598,0.9012846247261511,0.7483013778924942,0.9889288738369941
16,1.1365099141865107,0.9881973922252655,1.293086376786232,1.0615759807626837,0.9509065762162209,1.1711343884468077,0.2603970499524735,-0.021543706627562637,0.4334060356020926,0.2046192797817889,-0.14342693164944648,0.44408923983573895,0.9290280594598193,0.7615642383694649,0.9963174387812614
17,1.1342680396040883,0.9862539723515511,1.2848465383052825,1.0632648435082146,0.9537271603941917,1.1748519957065582,0.2499227290799818,-0.02232706514187157,0.4173252932727335,0.20239385377050487,-0.13178256787359716,0.43826888874173153,0.9332550567630803,0.7732659533619881,0.9967597499489784
18,1.1452216270264926,0.9934178546071053,1.3003575533628462,1.075318877472064,0.9660314947366715,1.1880481243133545,0.2649861873663016,-0.01053949922788888,0.434808437526226,0.23492444594946235,-0.09655071422457695,0.46150516644120193,0.921885234630148,0.7552349299192429,0.9963171020150184
19,1.1580391813308846,1.0061593770980835,1.312815925478935,1.095542999575532,0.9842331677675247,1.2094099670648575,0.2887536730163627,0.010375414812006057,0.4660967245697975,0.2964161847862894,-0.04448963245376945,0.5125693842768668,0.8970252731301309,0.712810130417347,0.9950377374887467
20,1.094137005354303,0.9602207541465759,1.232530230283737,1.0631675315948377,0.9641566783189773,1.1615569233894347,0.1929518954129206,-0.07674153633415699,0.39714240133762324,0.21551743644278112,-0.11424621008336544,0.4607262618839741,0.9476992785791811,0.7716695204377174,0.9985417991876602
21,1.1290021700914352,0.9950067237019539,1.2676586747169494,1.0866520783136209,0.9883680462837219,1.1864128172397614,0.25887233510209323,-0.009421652788296342,0.44281351640820477,0.2896608616902941,-0.03666006587445735,0.5090790674090385,0.9066220523380474,0.7197749078273773,0.996207682788372
22,1.124876637236193,0.9950479432940483,1.258583527803421,1.084226863547823,0.9878860548138618,1.1822232395410537,0.25241329962901926,-0.009187319432385262,0.4374701082706448,0.27835490139914704,-0.038695743680000304,0.49648776054382315,0.912409975678026,0.7306440263986588,0.997015680372715
23,1.07419272634396,0.9447085663676262,1.2009985387325286,1.0639751095780996,0.9677274882793426,1.1614856600761412,0.15038034154160912,-0.09913071580231189,0.35803241431713095,0.20031413582576704,-0.09643588401377201,0.42686516046524,0.9587242641698528,0.8038006886839867,0.9986559018492699
24,1.0906531097130148,0.9624812543392182,1.216897502541542,1.054892024642882,0.9596055388450623,1.147855892777443,0.19515154370904617,-0.07062652427703142,0.4011057943105697,0.18961365501057273,-0.12883813939988611,0.42925298660993555,0.9542454257407793,0.7875667616724968,0.9985971942543983
25,1.0886261720863994,0.9637780204415322,1.2135226845741272,1.058801327952094,0.9638322249054909,1.1524085253477097,0.1917255615051748,-0.07193863373249769,0.3993224896490573,0.19334206424645642,-0.11105906181037425,0.4241009645164013,0.9541270248321473,0.792199793457985,0.9985196337103843
26,1.0959283111604106,0.9715634778141975,1.2221548497676848,1.0557593404363381,0.9621449053287506,1.1500563621520996,0.20661528759713854,-0.05662363637238741,0.4115058310329914,0.18213833017486641,-0.11796399485319853,0.4112424559891223,0.9527946402325433,0.7932594597339631,0.9984813258051872
27,1.0686932719399105,0.9444700077176094,1.1943664848804474,1.0531129094695353,0.9591362163424492,1.1454592764377591,0.14488397706446585,-0.10217112582176924,0.36789941564202305,0.16153041472001645,-0.1151598636060953,0.3922787860035896,0.9708884050482841,0.8236118957400322,0.9988989025354386
28,1.1208304737105883,0.9640081509947777,1.2681631475687027,1.0405721241919528,0.942358972132206,1.1333122968673706,0.31480579416262267,-0.07875359356403351,0.5654810220003125,0.19421007665558315,-0.2477381370961666,0.5042041704058646,0.9003335562449369,0.6450226962566376,0.9930557742714882
