layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
10,10.355459213256836,1.730643630027771,1.9951086044311523,0.16507460085770717,-0.24116966128349304,0.4101978540420532,103.95558499332994,65.78273571233434,0.9535356514549276,1.4728814672083472,0.9535356514549276,1.4728815468104972,0.48115965723991394,0.818389356136322,0.9081557393074036,1.7764326333999634,0.7928013863662634,0.5252724027807305,0.7136142797994741
11,11.073443412780762,1.9631142616271973,2.2144806385040283,0.16986697655260644,-0.21614091098308563,0.4309626817703247,102.48247064577951,64.47133013136171,0.956775874950037,1.4861452194766074,0.956775874950037,1.4861452194766074,0.47863999009132385,0.9543585181236267,1.0536692142486572,1.9477437734603882,0.7736060782798874,0.5071274517230958,0.6988293514053744
12,11.54302978515625,1.9671767950057983,2.2289512157440186,0.16498276328114114,-0.22941525280475616,0.419450968503952,103.26264768997453,65.20007030816642,0.9557000699564548,1.4752677525775653,0.95570007711394,1.475267814187863,0.511355459690094,0.9349356293678284,1.0428802967071533,1.9699300527572632,0.7810889320158706,0.5212921585173954,0.7087865700827595
13,11.767572402954102,2.059142827987671,2.3377938270568848,0.16907803381489556,-0.23999950289726257,0.42402011156082153,103.88651102323624,64.91134458005719,0.9523207194618941,1.4814000784001722,0.9523207125749537,1.481400022170293,0.5610694885253906,0.9912714958190918,1.1201539039611816,2.051959276199341,0.770415583567561,0.5097200142659282,0.7021501062102704
14,12.353065490722656,2.27742338180542,2.547870635986328,0.1741480176393168,-0.23319624364376068,0.4189230799674988,103.48532132919469,65.2333843174551,0.9519023144185447,1.4686707459632962,0.951902308168968,1.4686706999956205,0.5941539406776428,1.0673617124557495,1.2185842990875244,2.237565279006958,0.7712526703998666,0.49428902440390615,0.6886743286445951
15,13.853397369384766,2.6199967861175537,2.870558023452759,0.17425419404242293,-0.3161020874977112,0.42591115832328796,108.42735862946819,64.79164960000094,0.9345005913517989,1.466642820372347,0.9345005863825872,1.466642820372347,0.9073892831802368,1.2226027250289917,1.5041462182998657,2.444923162460327,0.725433771588216,0.48084209288066215,0.6819117220415684
16,16.07676887512207,2.897639274597168,3.0746307373046875,0.16204092962603278,-0.3456754982471466,0.3717660903930664,110.22303613736409,68.1754220480377,0.9338906703199485,1.394474060268936,0.9338906481811626,1.3944740034776828,1.0628246068954468,1.1430435180664062,1.559877872467041,2.6495540142059326,0.7426080034606778,0.5110521398660918,0.6945739487412772
17,16.47354507446289,3.0683064460754395,3.2481093406677246,0.1662129781096667,-0.3115916848182678,0.3817024230957031,108.15517901548412,67.56082540414803,0.938563079768134,1.4040702338418047,0.9385630727397425,1.4040701325433964,1.0120841264724731,1.2398113012313843,1.6041569709777832,2.8243391513824463,0.7560881149910407,0.5003216534861239,0.6859758711931105
18,17.82402992248535,3.2061398029327393,3.4561164379119873,0.16434087225132316,-0.28698301315307617,0.3745632767677307,106.6774193417953,68.00267674818687,0.9443534040948489,1.4037673027601991,0.9443533920874684,1.4037672099842995,0.9918465614318848,1.29453444480896,1.641250729560852,3.0415515899658203,0.7744861271147199,0.5127837739953299,0.6950913998061462
19,21.367019653320312,3.7614340782165527,4.096289157867432,0.16301397610853954,-0.22555479407310486,0.41766440868377686,103.03550418512852,65.31278057877255,0.9567587053972804,1.4548462455181927,0.9567587012195329,1.4548462118156102,0.9239376783370972,1.7108741998672485,1.9929280281066895,3.5788021087646484,0.7632980570863748,0.5177577408367738,0.7006235145301462
