layer,alpha_A_given_U,alpha_A_given_U_lo,alpha_A_given_U_hi,alpha_U_given_A,alpha_U_given_A_lo,alpha_U_given_A_hi,cos_R_vs_tau_A,cos_R_vs_tau_A_lo,cos_R_vs_tau_A_hi,cos_R_vs_tau_U,cos_R_vs_tau_U_lo,cos_R_vs_tau_U_hi,ncf,ncf_lo,ncf_hi
10,0.9535356914746318,0.9114152550697326,0.9956523582339287,1.4728812682029724,1.328635999560356,1.6120649695396423,-0.24116943899711227,-0.38614697605371473,-0.020617728121578697,0.41019767255782713,0.2687910906970501,0.46316787302494045,0.7928015166262881,0.7118011802434921,0.9121932968497275
11,0.956775828285608,0.9153868436813355,0.9980443641543388,1.4861453432077245,1.351888331770897,1.6192259699106215,-0.21614113916063002,-0.3614209406077862,-0.009759838751051854,0.43096278983545394,0.2942355558276176,0.4829392835497855,0.7736057930084975,0.697765263915062,0.8931144639849663
12,0.9557000341690293,0.9142795607447625,0.9972524166107177,1.4752676909672673,1.3447442591190337,1.6077480494976044,-0.22941544045289494,-0.3775633297860622,-0.013963289815001253,0.41945089096912175,0.2834832265973091,0.4702148050069809,0.781089004146669,0.7036350131034851,0.9012951403856276
13,0.9523206678098407,0.9102636843919754,0.9948386415839195,1.4814003033196894,1.351660168170929,1.6123317539691926,-0.23999977543576384,-0.38239611908793447,-0.025568506261333945,0.4240202753458495,0.2908343993127346,0.4744328342378139,0.7704150757406302,0.6940325066447258,0.894776625931263
14,0.9519021956765883,0.9092191159725189,0.9950131416320801,1.4686705620925935,1.3508567005395888,1.5896677553653717,-0.23319686228266762,-0.3776548095047474,-0.022764814505353576,0.41892295526096657,0.29032320976257325,0.4658314183354376,0.7712524804233383,0.6966900616884232,0.8928371652960777
15,0.9345006410439164,0.8944625705480576,0.9755176201462745,1.4666427161742392,1.3539412587881088,1.5810424149036406,-0.3161018046316079,-0.4376658074557781,-0.11451468653976918,0.4259110267980116,0.30472653806209565,0.4762030906975269,0.7254340490656392,0.6520509392023086,0.8581874296069145
16,0.9338907367363063,0.8957721799612045,0.9740320816636086,1.394474060268936,1.2844054013490678,1.5023541092872619,-0.34567511894218894,-0.46734424233436583,-0.13322554118931304,0.37176611683960203,0.25450926199555396,0.42603998482227323,0.742608293641484,0.6602315306663513,0.874752214550972
17,0.9385631570804406,0.9006560280919075,0.9790875107049942,1.4040701831926006,1.29637531042099,1.5116122275590895,-0.3115912965873707,-0.43398179337382314,-0.10526345539838088,0.38170240524438975,0.26552085131406783,0.43482244014739985,0.756088509972768,0.6775665685534478,0.8781678020954131
18,0.9443533920874684,0.9068911343812942,0.9847692459821701,1.4037671635963496,1.2910912305116653,1.5116006612777708,-0.28698306050397476,-0.41464889571070673,-0.0742635302245617,0.374563209016048,0.2579058721661568,0.4293311558663845,0.7744862018121041,0.6969638928771019,0.888217170536518
19,0.9567585884203516,0.920528469979763,0.9964848339557647,1.4548465151388532,1.3449208945035935,1.5639701932668686,-0.2255553881492456,-0.36452226862311365,-0.018366417614743204,0.4176646512403123,0.30258257165551183,0.4682641327381134,0.7632975217965837,0.6956524088978767,0.8698721021413803
20,0.9505011996316766,0.9191603735089302,0.9847451880574226,1.4602000393092007,1.359342670440674,1.5590832263231276,-0.2918318755546898,-0.4220744095742702,-0.09059000331908482,0.4525033383839803,0.3385636582970619,0.5082441985607147,0.7073076383186878,0.6358157426118851,0.8262590557336807
21,0.9563123068661296,0.9250702351331711,0.990880799293518,1.4684540486913364,1.3676335394382477,1.5683876663446426,-0.25778462412908865,-0.39258634075522425,-0.05408261800184868,0.45594218923017305,0.34134361520409584,0.513374376296997,0.715400815441635,0.6469021871685982,0.8290005922317504
22,0.9582467064206124,0.9273156359791755,0.9924571424722671,1.4701685293770548,1.3701105564832687,1.5706161111593244,-0.2345388451780925,-0.36501274183392524,-0.04100747043266894,0.45689833710470595,0.341504430025816,0.5144792735576629,0.724533296159825,0.6629260897636413,0.8328055918216706
23,0.9495235727749585,0.9186718761920929,0.9843729570508003,1.4481612536744988,1.349799743294716,1.548300415277481,-0.2692562968584699,-0.3871545344591141,-0.08343575336039072,0.44584643816575453,0.3265342377126217,0.5111642137169837,0.7119939283957548,0.6483483746647835,0.8260896503925323
24,0.952217756324073,0.9219912305474282,0.9855058044195175,1.46071368234983,1.3623212248086929,1.5600514024496077,-0.26998312528889773,-0.3908224441111088,-0.08147374950349334,0.45848319014463706,0.33962162807583807,0.5234339222311973,0.7010830219843045,0.6424390584230423,0.8130742102861404
25,0.9526876893693494,0.9225383028388023,0.9862147361040114,1.480774423464069,1.387318754196167,1.577490210533142,-0.2553642461815726,-0.37501062005758284,-0.07283818814903527,0.4853612500809074,0.3686506897211075,0.5456607639789579,0.6753609787098783,0.6213002249598503,0.7882138088345527
26,0.9522319147051079,0.9212423339486122,0.9865452542901039,1.4942492674293661,1.39989894926548,1.589893615245819,-0.25084465055564786,-0.368051028996706,-0.06993835512548705,0.49330836839478376,0.38074955269694327,0.5522139444947242,0.6667726739902377,0.6174998208880424,0.7766530394554138
27,0.9513269936773255,0.920074112713337,0.985889944434166,1.4831345671968417,1.3898057281970977,1.5788092672824858,-0.24370563581943192,-0.35573084056377413,-0.06953997444361457,0.48275953214217265,0.36930054500699044,0.5467069342732429,0.675120744572012,0.622581148147583,0.7849127620458602
28,0.9330469823945651,0.8984365776181221,0.9679755583405495,1.6158489722649456,1.5158384144306183,1.7172562062740326,-0.45034281041657476,-0.5796767145395278,-0.21913988627493383,0.6631931896136612,0.532311187684536,0.7176407143473624,0.4085852028494195,0.3524001710116863,0.5685393020510672
